基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
65Z,國外,電訊,,高風險,,a.股票型,今年來報酬率大於10%
660,國外,工業,,,,a.股票型,
661,國外,非必需消費品,,,,a.股票型,
664,國外,金融,,,,a.股票型,
666,國外,非必需消費品,,,,a.股票型,
668,國外,健康護理,,,,a.股票型,
66C,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
66I,國外,,高收益債,,,b.債券型,
66J,國外,綜合能源,,,,a.股票型,
66K,國外,消費性耐久財,,高風險,,a.股票型,今年來報酬率大於10%
66L,國外,工業,高收益債,,,b.債券型,
66N,國外,金融,,,,a.股票型,
66P,國外,金融債券,,,,b.債券型,
66Q,國外,金融債券,,,,b.債券型,
66R,國外,金融債券,,,,b.債券型,
66T,國外,非金融債券,,,,b.債券型,
66V,國外,金融債券,,,,b.債券型,
66Y,國外,菸草,,,,a.股票型,今年來報酬率大於10%
66Z,國外,菸草,,,,a.股票型,
671,國外,政府債券,高收益債,,,b.債券型,
673,國外,政府債券,高收益債,,,b.債券型,
675,國外,政府債券,高收益債,,,b.債券型,
676,國外,金融債券,高收益債,,,b.債券型,
677,國外,金融債券,高收益債,,,b.債券型,
678,國外,金融債券,高收益債,,,b.債券型,
67B,國外,工業,高收益債,,,b.債券型,
67G,國外,工業,,,,b.債券型,
67I,國外,其他,,,,b.債券型,
67J,國外,能源,高收益債,,,b.債券型,
67K,國外,房地產,,,,b.債券型,
67L,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
67M,國外,日常用品,,高風險,,a.股票型,今年來報酬率大於10%
67N,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
67O,國外,,,,,b.債券型,
67P,國外,,,,,b.債券型,
67Q,國外,,,,,b.債券型,
67R,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
67S,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
67T,國外,現金,,,,a.股票型,
67U,國外,現金,,,,a.股票型,
67V,國外,景氣循環性消費,,,,a.股票型,今年來報酬率大於10%
67W,國外,,,,,a.股票型,
67X,國外,電訊,,高風險,,a.股票型,今年來報酬率大於10%
67Y,國外,必需性消費品,,高風險,,a.股票型,
67Z,國外,,,,,a.股票型,
680,國外,醫療保健,,,,a.股票型,
688,國外,必需性消費品,,,,a.股票型,今年來報酬率大於10%
689,國外,必需性消費品,,,,a.股票型,今年來報酬率大於10%
68A,國外,能源,,,,b.債券型,
68B,國外,其他,高收益債,,,b.債券型,
68C,國外,現金及其他,高收益債,,,b.債券型,
68D,國外,資本財,高收益債,,,b.債券型,
68E,國外,資本財,高收益債,,,b.債券型,
68F,國外,現金及衍生性商品,高收益債,,,b.債券型,
68G,國外,加拿大,高收益債,,,b.債券型,
68H,國外,現金及衍生性商品,高收益債,,,b.債券型,
68I,國外,公用事業,,,,b.債券型,
68J,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
68K,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
68M,國外,新興市場金融債券,高收益債,,,b.債券型,
68N,國外,新興市場金融債券,高收益債,,,b.債券型,
68O,國外,新興市場金融債券,高收益債,,,b.債券型,
68P,國外,能源,,,,b.債券型,
68Q,國外,其他,高收益債,,,b.債券型,
68R,國外,現金及其他,高收益債,,,b.債券型,
68S,國外,資本財,高收益債,,,b.債券型,
68T,國外,現金及其他,高收益債,,,b.債券型,
68V,國外,工業,,,,a.股票型,今年來報酬率大於10%
68X,國外,媒體,高收益債,,,b.債券型,
68Y,國外,資本財,高收益債,,,b.債券型,
68Z,國外,現金及其他,高收益債,,,b.債券型,
690,國外,醫療保健,,,,a.股票型,
691,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
696,國外,能源,,,,b.債券型,
697,國外,民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
698,國外,金融,,,,a.股票型,今年來報酬率大於10%
699,國外,服務,,,,a.股票型,
69A,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
69B,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
69C,國外,公用事業,,,,b.債券型,
69D,國外,現金及衍生性商品,高收益債,,,b.債券型,
69E,國外,現金及衍生性商品,高收益債,,,b.債券型,
69F,國外,加拿大,高收益債,,,b.債券型,
69G,國外,現金及衍生性商品,高收益債,,,b.債券型,
69H,國外,主權債(非當地貨幣),高收益債,,,b.債券型,
69I,國外,媒體,高收益債,,,b.債券型,
69J,國外,工業,,,,b.債券型,
69K,國外,工業,,,,b.債券型,
69L,國外,工業,,,,b.債券型,
69M,國外,主權債(非當地貨幣),高收益債,,,b.債券型,
69N,國外,金融,,,,b.債券型,
69R,國外,,高收益債,,,b.債券型,
69T,國外,主權債,,,,b.債券型,
69U,國外,,,,,b.債券型,今年來報酬率大於10%
69V,國外,,,,,b.債券型,今年來報酬率大於10%
69X,國外,能源,高收益債,,,b.債券型,
69Z,國外,能源,高收益債,,,b.債券型,
700,國外,服務,,,,a.股票型,今年來報酬率大於10%
701,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
702,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
703,國外,民生必需品,,高風險,,a.股票型,
704,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
706,國外,能源,,,,b.債券型,
708,國外,健康醫療,,,,a.股票型,今年來報酬率大於10%
70D,國外,原物料,,高風險,,a.股票型,
70F,國外,非核心消費商品,,高風險,,a.股票型,
70G,國外,電信服務,,高風險,,a.股票型,
70H,國外,金融,,高風險,,a.股票型,
70I,國外,金融,,高風險,,a.股票型,
70J,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
70K,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
70N,國外,資本市場,,,,a.股票型,
70Q,國外,容器與包裝,,,,a.股票型,
70R,國外,容器與包裝,,,,a.股票型,
70S,國外,數據處理與外包,,,,a.股票型,今年來報酬率大於10%
70U,國外,水力公用事業,,,,a.股票型,
710,國外,消費性耐久財,,,,a.股票型,今年來報酬率大於10%
715,國外,資訊科技,,,,a.股票型,
71C,國外,現金及其他,高收益債,,,b.債券型,
71D,國外,非循環性消費,高收益債,,,b.債券型,
71E,國外,其他,高收益債,,,b.債券型,
71F,國外,銀行與證券,高收益債,,,b.債券型,
71G,國外,,高收益債,,,b.債券型,
71H,國外,其他,高收益債,,,b.債券型,
71I,國外,,,,,b.債券型,
71J,國外,,,,,b.債券型,
71K,國外,工業,,,,a.股票型,
71L,國外,工業,,,,a.股票型,
71M,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
71N,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
71O,國外,工業,,,,a.股票型,今年來報酬率大於10%
71P,國外,資訊科技,,,,a.股票型,
71Q,國外,資訊科技,,,,a.股票型,
71S,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
71T,國外,健康護理,,,,a.股票型,
71U,國外,健康護理,,,,a.股票型,
71V,國外,其他,,,,a.股票型,
71W,國外,醫療保健,,,,a.股票型,
71X,國外,醫療保健,,,,a.股票型,
71Y,國外,醫療保健,,,,a.股票型,
71Z,國外,非循環性消費,高收益債,,,b.債券型,
72A,國外,資訊科技,,,,a.股票型,
72B,國外,資訊科技,,,,a.股票型,
72C,國外,新興市場債-當地貨幣,高收益債,,熱銷基金,b.債券型,
72D,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
72E,國外,約當現金,高收益債,,,b.債券型,
72F,國外,約當現金,高收益債,,,b.債券型,
72G,國外,約當現金,高收益債,,,b.債券型,
72H,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
72I,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
72J,國外,公司債,高收益債,,,b.債券型,
72K,國外,公司債,高收益債,,,b.債券型,
72L,國外,通膨連結債券,,,,b.債券型,
72M,國外,通膨連結債券,,,,b.債券型,
72S,國外,健康護理,,,,a.股票型,
72T,國外,原物料,,,,a.股票型,今年來報酬率大於10%
72U,國外,原物料,,,,a.股票型,
72V,國外,原物料,,,,a.股票型,今年來報酬率大於10%
72W,國外,媒體,高收益債,,,b.債券型,
72X,國外,媒體,高收益債,,,b.債券型,
72Y,國外,媒體,高收益債,,,b.債券型,
72Z,國外,媒體,高收益債,,,b.債券型,
73A,國外,媒體,高收益債,,,b.債券型,
73B,國外,消費品,,,,a.股票型,
73C,國外,金融,,,,a.股票型,今年來報酬率大於10%
73D,國外,零售貿易,,,,a.股票型,今年來報酬率大於10%
73E,國外,能源,,,,a.股票型,今年來報酬率大於10%
73F,國外,能源,,,,a.股票型,今年來報酬率大於10%
73G,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
73H,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
73I,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
73J,國外,新興市場債-當地貨幣,高收益債,,,b.債券型,
73K,國外,新興市場債-強勢貨幣,高收益債,,,b.債券型,
73L,國外,公司債,高收益債,,,b.債券型,
73M,國外,多元金融業,高收益債,,,b.債券型,
73N,國外,多元金融業,高收益債,,,b.債券型,
73O,國外,資訊科技,,,,a.股票型,
73P,國外,資訊科技,,,,a.股票型,
73Q,國外,資訊科技,,,,a.股票型,
73R,國外,資訊科技,,,,a.股票型,
73S,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
73T,國外,房地產,,高風險,,a.股票型,今年來報酬率大於10%
73U,國外,銀行與證券,高收益債,,,b.債券型,
73V,國外,工業,,,,d.平衡型,
73W,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
74E,國外,現金及衍生性商品,高收益債,,,b.債券型,
74F,國外,加拿大,高收益債,,,b.債券型,
74G,國外,現金及衍生性商品,高收益債,,,b.債券型,
74H,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
74I,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
74J,國外,資訊科技,,,,a.股票型,
74K,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
74L,國外,石油服務,,,,a.股票型,
74M,國外,金融,,,,a.股票型,
74N,國外,鑽石,,高風險,,a.股票型,
74O,國外,生物技術,,,,a.股票型,今年來報酬率大於10%
74P,國外,銅,,,,a.股票型,
74Q,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
74R,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
74S,國外,非必須消費品,,,,a.股票型,今年來報酬率大於10%
74T,國外,非必須消費品,,,,a.股票型,
74U,國外,金融,,,,a.股票型,今年來報酬率大於10%
74W,國外,醫療保健,,,,a.股票型,
74X,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
74Y,國外,醫療保健,,,,a.股票型,
74Z,國外,資訊科技,,,,a.股票型,
755,國外,必需性消費品,,高風險,,a.股票型,
75A,國外,能源,,,,a.股票型,今年來報酬率大於10%
75B,國外,能源,,,,a.股票型,今年來報酬率大於10%
75D,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
75E,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
75F,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
75G,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
75H,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
75I,國外,石油天然氣,高收益債,,,b.債券型,
75K,國外,石油天然氣,高收益債,,,b.債券型,
75L,國外,石油天然氣,高收益債,,,b.債券型,
75M,國外,石油天然氣,高收益債,,,b.債券型,
75N,國外,健康護理,,,,a.股票型,
75O,國外,健康護理,,,,a.股票型,
75P,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
75Q,國外,公用,,,,a.股票型,
75R,國外,公用,,,,a.股票型,
75S,國外,公用,,,,a.股票型,
75T,國外,公用,,,,a.股票型,
75U,國外,其他,高收益債,,,b.債券型,
75V,國外,其他,高收益債,,,b.債券型,今年來報酬率大於10%
75X,國外,其他,高收益債,,,b.債券型,
763,國外,醫療保健,,,,a.股票型,
764,國外,醫療保健,,,,a.股票型,
765,國外,原物料,,,,a.股票型,今年來報酬率大於10%
766,國外,原物料,,,,a.股票型,今年來報酬率大於10%
767,國外,資訊科技,,,,a.股票型,
768,國外,健康護理,,,,a.股票型,
769,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
76A,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
76B,國外,醫療保健,,,,a.股票型,
76C,國外,資產抵押擔保證券,高收益債,,,b.債券型,
76F,國外,工業,,,,a.股票型,今年來報酬率大於10%
76H,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
76I,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
76J,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
76K,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
76L,國外,非核心消費品,,高風險,,a.股票型,今年來報酬率大於10%
76M,國外,非核心消費品,,高風險,,a.股票型,今年來報酬率大於10%
76N,國外,電訊,,高風險,,a.股票型,今年來報酬率大於10%
76O,國外,金融債券,高收益債,,,b.債券型,
76P,國外,金融債券,高收益債,,,b.債券型,
76Q,國外,政府債券,高收益債,,,b.債券型,
76R,國外,政府債券,高收益債,,,b.債券型,
76S,國外,新興市場金融債券,高收益債,,,b.債券型,
76T,國外,新興市場金融債券,高收益債,,,b.債券型,
76U,國外,金融債券,高收益債,,,b.債券型,
76V,國外,金融債券,高收益債,,,b.債券型,
76W,國外,政府債券,高收益債,,,b.債券型,
76X,國外,政府債券,高收益債,,,b.債券型,
76Y,國外,新興市場金融債券,高收益債,,,b.債券型,
76Z,國外,新興市場金融債券,高收益債,,,b.債券型,
770,國外,石油及天然氣設備及服務,,,,a.股票型,
771,國外,日本股票,,,,d.平衡型,
772,國外,金融債券,高收益債,,,b.債券型,
775,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
776,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
777,國外,金融,,,,a.股票型,今年來報酬率大於10%
778,國外,金融,,,,a.股票型,
779,國外,金融,,,,a.股票型,
77A,國外,工業,,,,a.股票型,今年來報酬率大於10%
77B,國外,工業,,,,d.平衡型,
77C,國外,工業,,,,d.平衡型,
77D,國外,工業,,,,d.平衡型,
77E,國外,非必需消費,,高風險,,a.股票型,今年來報酬率大於10%
77G,國外,核心消費品,,高風險,,d.平衡型,今年來報酬率大於10%
77H,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
77I,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
77J,國外,金融債券,高收益債,,,b.債券型,
77K,國外,金融債券,高收益債,,,b.債券型,
77L,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
77M,國外,金融債券,高收益債,,,b.債券型,
77N,國外,金融債券,高收益債,,,b.債券型,
77O,國外,公用,,,,a.股票型,
77P,國外,公用,,,,a.股票型,
77Q,國外,環境服務,,,,a.股票型,
77R,國外,工業,,,,a.股票型,
77S,國外,公用事業,高收益債,高風險,,d.平衡型,
77T,國外,公用事業,高收益債,高風險,,d.平衡型,
77U,國外,公用事業,高收益債,高風險,,d.平衡型,
77V,國外,醫療保健,,,,a.股票型,
77W,國外,醫療保健,,,,a.股票型,
77X,國外,資訊科技,,,,a.股票型,
77Y,國外,能源,,,,a.股票型,
77Z,國外,能源,,,,a.股票型,
781,國外,住宅,,,,a.股票型,
782,國外,原物料,,,,a.股票型,
783,國外,科技硬體及周邊,,,,a.股票型,今年來報酬率大於10%
785,國外,資訊科技,,,,a.股票型,
786,國外,醫療保健,,,,a.股票型,
78A,國外,原物料,,,,a.股票型,今年來報酬率大於10%
78B,國外,金融,,,,a.股票型,
78C,國外,非必需消費品,,,,a.股票型,
78E,國外,非民生必需品,,,,a.股票型,
78F,國外,非民生必需品,,,熱銷基金,a.股票型,
78G,國外,非民生必需品,,,,a.股票型,
78H,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
78I,國外,高股息股票,,,,d.平衡型,
78J,國外,非民生必需品,,,,a.股票型,
78K,國外,住宅,,,,a.股票型,
78L,國外,現金及其他產業,,,,a.股票型,
78M,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
78N,國外,非必需消費品,,,,a.股票型,
78O,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
78P,國外,現金及其他,高收益債,,,b.債券型,
78R,國外,工業,,,,a.股票型,
78S,國外,金融,,,,a.股票型,今年來報酬率大於10%
78T,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
78U,國外,金融抵押債券,,,,b.債券型,
78V,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
78W,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
78X,國外,現金及其他,高收益債,,,b.債券型,
78Y,國外,其他,高收益債,,,b.債券型,
78Z,國外,能源,,,,a.股票型,今年來報酬率大於10%
79A,國外,現金及其他,高收益債,,,b.債券型,
79B,國外,其他,高收益債,,,b.債券型,
79C,國外,其他,高收益債,,,b.債券型,
79D,國外,能源,,,,b.債券型,
79G,國外,,高收益債,,,b.債券型,
79H,國外,,高收益債,,,b.債券型,
79J,國外,資本財,高收益債,,,b.債券型,
79K,國外,資本財,高收益債,,,b.債券型,
79L,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
79N,國外,金融,,,,a.股票型,今年來報酬率大於10%
79O,國外,能源,,高風險,,a.股票型,今年來報酬率大於10%
79P,國外,機械,,,,a.股票型,
79Q,國外,消費服務,,,,a.股票型,今年來報酬率大於10%
79R,國外,金融,,高風險,,a.股票型,
79S,國外,其他,,,,a.股票型,今年來報酬率大於10%
79T,國外,工業,,,,a.股票型,
79U,國外,工業,,,,a.股票型,
79V,國外,工業,,,,a.股票型,
79W,國外,工業,,,,a.股票型,
79Y,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
79Z,國外,其他,,,,a.股票型,今年來報酬率大於10%
804,國外,基礎工業,高收益債,,,b.債券型,
806,國外,基礎工業,高收益債,,,b.債券型,
80B,國外,能源,,,,a.股票型,
80C,國外,能源,,,,a.股票型,
80D,國外,必需消費品,,,,a.股票型,
80E,國外,必需消費品,,,,a.股票型,
80F,國外,必需消費品,,,,a.股票型,
80G,國外,必需消費品,,,,a.股票型,
80I,國外,電訊服務,,高風險,,a.股票型,今年來報酬率大於10%
80J,國外,電訊服務,,高風險,,a.股票型,今年來報酬率大於10%
80K,國外,電訊服務,,高風險,,a.股票型,今年來報酬率大於10%
80M,國外,不動產,,,,d.平衡型,
80N,國外,不動產,,,,d.平衡型,
80O,國外,不動產,,,,d.平衡型,
816,國外,通訊,,,,b.債券型,
817,國外,非循環性消費,,,,b.債券型,
819,國外,其他,高收益債,,,b.債券型,
81J,國外,其他,,高風險,,a.股票型,今年來報酬率大於10%
81P,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
81U,國外,非必需消費品,,,,a.股票型,
81V,國外,健康護理,,,,a.股票型,
81X,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
81Y,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
820,國外,非循環性消費,高收益債,,,b.債券型,
821,國外,工業,,,,d.平衡型,
825,國外,定存,,,,c.貨幣型,
827,國外,定存,,,,c.貨幣型,
828,國外,定存,,,,c.貨幣型,
829,國外,消費品,,,,a.股票型,
82A,國外,必需消費品,,高風險,,a.股票型,
82B,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
82C,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
82D,國外,金融債券,,,,b.債券型,
82J,國外,政府債券,高收益債,,,b.債券型,
82K,國外,政府債券,高收益債,,,b.債券型,
82L,國外,政府債券,高收益債,,,b.債券型,
82M,國外,政府債券,高收益債,,,b.債券型,
82O,國外,金融債券,高收益債,,,b.債券型,
82P,國外,金融債券,高收益債,,,b.債券型,
82Q,國外,金融債券,高收益債,,,b.債券型,
82R,國外,金融債券,高收益債,,,b.債券型,
82S,國外,新興市場金融債券,高收益債,,,b.債券型,
82T,國外,新興市場金融債券,高收益債,,,b.債券型,
82U,國外,新興市場金融債券,高收益債,,,b.債券型,
82V,國外,新興市場金融債券,高收益債,,,b.債券型,
82W,國外,新興市場金融債券,高收益債,,,b.債券型,
82X,國外,其他,,,,b.債券型,
82Y,國外,菸草,,,,a.股票型,今年來報酬率大於10%
82Z,國外,菸草,,,,a.股票型,
830,國外,金融,,,,a.股票型,今年來報酬率大於10%
831,國外,消費服務,,,,a.股票型,今年來報酬率大於10%
832,國外,房地產,,高風險,,a.股票型,今年來報酬率大於10%
833,國外,健康護理,,,,a.股票型,
834,國外,機械,,,,a.股票型,
835,國外,健康護理,,,,a.股票型,
836,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
837,國外,消費品,,,,a.股票型,今年來報酬率大於10%
838,國外,,,,,a.股票型,今年來報酬率大於10%
83A,國外,公債,高收益債,,,b.債券型,
83B,國外,公債,高收益債,,,b.債券型,
83F,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83G,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83H,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83I,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83J,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83K,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
83N,國外,半主權,高收益債,,,b.債券型,
83T,國外,半主權,高收益債,,,b.債券型,
83U,國外,半主權,高收益債,,,b.債券型,
840,國外,消費服務,,,,a.股票型,今年來報酬率大於10%
841,國外,非核心消費,,,,a.股票型,
842,國外,零售貿易,,,,a.股票型,今年來報酬率大於10%
843,國外,金融,,,,a.股票型,
844,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
845,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
846,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
847,國外,金融,,,,a.股票型,今年來報酬率大於10%
848,國外,核心消費,,高風險,,a.股票型,今年來報酬率大於10%
850,國外,金融,,,,a.股票型,今年來報酬率大於10%
851,國外,核心消費,,,,a.股票型,
852,國外,金融,,,,a.股票型,
853,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
854,國外,非核心消費,,,,a.股票型,今年來報酬率大於10%
855,國外,其他,,,,a.股票型,今年來報酬率大於10%
856,國外,資訊科技,,,,a.股票型,
857,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
858,國外,其他,,,,a.股票型,
859,國外,其他,,,,a.股票型,
860,國外,原物料,,,,a.股票型,
861,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
863,國外,資訊科技,,,,a.股票型,
865,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
866,國外,其他產業,,,,a.股票型,今年來報酬率大於10%
867,國外,核心消費,,,,a.股票型,
868,國外,工業,,,,a.股票型,今年來報酬率大於10%
869,國外,原物料,,高風險,,a.股票型,
872,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
873,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
877,國外,消費性耐久財,,,,a.股票型,
880,國外,現金及衍生性商品,高收益債,,,b.債券型,
881,國外,現金及其他,高收益債,,,b.債券型,
882,國外,現金及其他,高收益債,,,b.債券型,
885,國外,新興市場金融債券,高收益債,,,b.債券型,
A02,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
A03,國外,健康護理,,,,a.股票型,
A06,國外,消費品,,,,a.股票型,
A07,國外,消費必需品,,,,a.股票型,
A27,國外,金融,,,,a.股票型,今年來報酬率大於10%
A29,國外,,高收益債,,,b.債券型,
A30,國外,金融,,,,a.股票型,
A32,國外,電訊,,,,a.股票型,今年來報酬率大於10%
A33,國外,健康護理,,,,a.股票型,今年來報酬率大於10%
A34,國外,媒體,高收益債,,,b.債券型,
A35,國外,媒體,高收益債,,,b.債券型,
A36,國外,,高收益債,,,b.債券型,
A37,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
A38,國外,可選消費品,,高風險,,a.股票型,今年來報酬率大於10%
A40,國外,消費必需品,,高風險,,a.股票型,今年來報酬率大於10%
A42,國外,可選消費品,,高風險,,a.股票型,今年來報酬率大於10%
A43,國外,可選消費品,,高風險,,a.股票型,今年來報酬率大於10%
A44,國外,工業,,,,a.股票型,
A45,國外,媒體,高收益債,,,b.債券型,
A46,國外,媒體,高收益債,,,b.債券型,
A47,國外,金融,,,,a.股票型,
A48,國外,消費服務,,,,a.股票型,
A49,國外,消費服務,,,,a.股票型,
AD1,國外,非必需消費,,,,a.股票型,今年來報酬率大於10%
AD2,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
AD3,國外,非必需消費,,,,a.股票型,今年來報酬率大於10%
AD4,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
AD8,國外,,,,,b.債券型,
AD9,國外,醫療,,,,a.股票型,
AE0,國外,必需消費,,,,a.股票型,今年來報酬率大於10%
AE2,國外,非必需消費,,,,a.股票型,今年來報酬率大於10%
AE3,國外,原物料,,高風險,,a.股票型,
AE5,國外,原物料,,高風險,,a.股票型,今年來報酬率大於10%
AE6,國外,非必需消費,,,,a.股票型,今年來報酬率大於10%
AE7,國外,原物料,,高風險,熱銷基金,a.股票型,今年來報酬率大於10%
AF3,國外,必需消費,,高風險,,a.股票型,今年來報酬率大於10%
AF4,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
AF5,國外,非必需消費,,高風險,,a.股票型,今年來報酬率大於10%
AF6,國外,,,,,d.平衡型,
AG0,國外,,,,,d.平衡型,
AI1,國內,,,,,a.股票型,
AI4,國內,,,,,c.貨幣型,
AI5,國內,,,,,e.組合型,
AI6,國內,,,,,e.組合型,
AI8,國內,,,,,e.組合型,
AI9,國內,原材料,,高風險,,a.股票型,
BL0,國內,,,高風險,,a.股票型,
BL1,國內,,,,,a.股票型,今年來報酬率大於10%
BL6,國內,,,,,c.貨幣型,
BM2,國內,,,,,g.指數型,
BM3,國內,現金,,,,e.組合型,
BM4,國內,黃金,,,,a.股票型,
BM6,國內,黃金,,,,a.股票型,
BM8,國內,現金,,高風險,,e.組合型,
BM9,國內,現金,,,,e.組合型,
BU0,國內,其他,,,,e.組合型,
BU1,國內,,,,,a.股票型,
BU6,國內,,,,,c.貨幣型,
C01,國外,健康醫療,,,,a.股票型,
C02,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
C07,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
C08,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
C12,國外,其他,,高風險,,a.股票型,今年來報酬率大於10%
C14,國外,工業,,,,a.股票型,今年來報酬率大於10%
C15,國外,,,,,b.債券型,
C17,國外,金融,,高風險,,a.股票型,今年來報酬率大於10%
C19,國外,歐洲高收益公司債券,高收益債,,,b.債券型,
C20,國外,必需消費品,,高風險,,a.股票型,
C21,國外,歐洲高收益公司債券,高收益債,,,b.債券型,
C23,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
C26,國外,非必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
C27,國外,工業,,高風險,,a.股票型,
C28,國外,其他,,高風險,,a.股票型,今年來報酬率大於10%
C30,國外,工業,,,,a.股票型,今年來報酬率大於10%
C31,國外,,,,,b.債券型,
C33,國外,必需消費品,,高風險,,a.股票型,
C41,國外,歐洲高收益公司債券,高收益債,,,b.債券型,
C42,國外,歐洲高收益公司債券,高收益債,,,b.債券型,
C43,國外,工業商品,,,,a.股票型,今年來報酬率大於10%
CH3,國內,,,,,d.平衡型,
CH4,國內,,,高風險,,a.股票型,今年來報酬率大於10%
CH5,國內,,,高風險,,a.股票型,
CH6,國內,,,,,a.股票型,
CH8,國內,非必需消費,,高風險,,a.股票型,今年來報酬率大於10%
