基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
309,國內,能源,高收益債,,,b.債券型,
310,國內,,高收益債,,,d.平衡型,
311,國內,,高收益債,,,d.平衡型,
312,國內,,高收益債,,,d.平衡型,
313,國內,,高收益債,,,d.平衡型,
314,國內,,高收益債,,,d.平衡型,
315,國內,,高收益債,,,d.平衡型,
316,國內,強勢貨幣新興市場債,高收益債,,,b.債券型,
317,國內,強勢貨幣新興市場債,高收益債,,,b.債券型,
318,國內,強勢貨幣新興市場債,高收益債,,,b.債券型,
319,國內,強勢貨幣新興市場債,高收益債,,,b.債券型,
320,國內,醫藥,,高風險,,a.股票型,
321,國內,醫藥,,高風險,,a.股票型,今年來報酬率大於10%
322,國內,消費,,高風險,,a.股票型,
323,國內,消費,,高風險,,a.股票型,今年來報酬率大於10%
324,國內,活存及其他,,,,c.貨幣型,
325,國內,現金及其他,高收益債,,,b.債券型,
326,國內,現金及其他,高收益債,,,b.債券型,
327,國內,活存及其他,,,,c.貨幣型,
328,國內,現金及其他,高收益債,,,b.債券型,
329,國內,現金及其他,高收益債,,,b.債券型,
330,國內,債券,,,,c.貨幣型,
331,國內,債券,,,,c.貨幣型,
332,國內,,,,,b.債券型,
333,國內,,,,,b.債券型,
334,國內,,高收益債,,,b.債券型,
335,國內,,高收益債,,,b.債券型,
336,國內,,,,,b.債券型,
337,國內,,,,,b.債券型,
338,國內,,高收益債,,,b.債券型,
339,國內,,高收益債,,,b.債券型,
340,國內,流動資金,高收益債,,,d.平衡型,
341,國內,資訊技術,,高風險,,a.股票型,
342,國內,流動資金,高收益債,,,d.平衡型,
343,國內,流動資金,高收益債,,,d.平衡型,
344,國內,資訊技術,,高風險,,a.股票型,今年來報酬率大於10%
345,國內,其他,高收益債,,,d.平衡型,
346,國內,其他,高收益債,,,d.平衡型,
347,國內,其他,高收益債,,,d.平衡型,今年來報酬率大於10%
348,國內,其他,高收益債,,,d.平衡型,今年來報酬率大於10%
349,國內,原物料,高收益債,,,b.債券型,
350,國內,原物料,高收益債,,,b.債券型,
351,國內,醫療保健,,,,a.股票型,
352,國內,醫療保健,,,,a.股票型,
353,國內,REITS-辦公資產,,,,a.股票型,
354,國內,REITS-辦公資產,,,,a.股票型,
356,國內,現金及約當現金,高收益債,,,d.平衡型,
357,國內,現金及約當現金,高收益債,,,d.平衡型,
358,國內,現金及約當現金,高收益債,,,d.平衡型,
359,國內,現金及約當現金,高收益債,,,d.平衡型,
360,國內,現金及約當現金,高收益債,,,d.平衡型,
361,國內,其他<2%>類股,,高風險,,a.股票型,
362,國內,,,高風險,,a.股票型,
363,國內,,,高風險,,a.股票型,
364,國內,,,高風險,,a.股票型,今年來報酬率大於10%
365,國內,,,高風險,,a.股票型,今年來報酬率大於10%
366,國內,軍工,,高風險,,a.股票型,
367,國內,旅遊消費,,高風險,,a.股票型,
368,國內,環球高收益債券型,高收益債,,,e.組合型,
369,國內,環球高收益債券型,高收益債,,,e.組合型,
370,國內,環球高收益債券型,高收益債,,,e.組合型,今年來報酬率大於10%
371,國內,環球高收益債券型,高收益債,,,e.組合型,今年來報酬率大於10%
372,國內,環球高收益債券型,高收益債,,,e.組合型,今年來報酬率大於10%
373,國內,機構,高收益債,,,b.債券型,
374,國內,機構,高收益債,,,b.債券型,
375,國內,機構,高收益債,,,b.債券型,
376,國內,機構,高收益債,,,b.債券型,
377,國內,高收益債券,高收益債,,,d.平衡型,
378,國內,高收益債券,高收益債,,,d.平衡型,
379,國內,高收益債券,高收益債,,,d.平衡型,
381,國內,高收益債券,高收益債,,,d.平衡型,
382,國內,高收益債券,高收益債,,,d.平衡型,
384,國內,高收益債券,高收益債,,,d.平衡型,
386,國內,高收益債券,高收益債,,,d.平衡型,
387,國內,環球高收益債券型,高收益債,,,e.組合型,
388,國內,工業,,高風險,,a.股票型,今年來報酬率大於10%
389,國內,軍工,,高風險,,a.股票型,
390,國內,旅遊消費,,高風險,,a.股票型,
391,國內,約當現金及其他,高收益債,,,b.債券型,
392,國內,約當現金及其他,高收益債,,,b.債券型,
393,國內,景氣循環性消費,,高風險,,a.股票型,今年來報酬率大於10%
394,國內,通訊,,高風險,,a.股票型,今年來報酬率大於10%
